EQP_ID,TIME,STATE,PREVIOUSSTATE
cTJJZkltZDdWSjN3c2s5QUZ6bXhJUT09,20180204 011009000,BKUP,RUN
cTJJZkltZDdWSjN3c2s5QUZ6bXhJUT09,20180204 094101000,RUN,BKUP
cTJJZkltZDdWSjN3c2s5QUZ6bXhJUT09,20180204 094119000,MON_R,RUN
cTJJZkltZDdWSjN3c2s5QUZ6bXhJUT09,20180204 094811000,BKUP,MON_R
cTJJZkltZDdWSjN3c2s5QUZ6bXhJUT09,20180204 101612000,WAIT_ENG,BKUP
cTJJZkltZDdWSjN3c2s5QUZ6bXhJUT09,20180204 102723000,HOLD_ENG,WAIT_ENG
cTJJZkltZDdWSjN3c2s5QUZ6bXhJUT09,20180204 105424000,WAIT_MFG,HOLD_ENG
cTJJZkltZDdWSjN3c2s5QUZ6bXhJUT09,20180204 105507000,MON_DOWN,WAIT_MFG
cTJJZkltZDdWSjN3c2s5QUZ6bXhJUT09,20180204 105517000,BKUP,MON_DOWN
cTJJZkltZDdWSjN3c2s5QUZ6bXhJUT09,20180204 105622000,IDLE,BKUP
cTJJZkltZDdWSjN3c2s5QUZ6bXhJUT09,20180204 105657000,BKUP,IDLE
cTJJZkltZDdWSjN3c2s5QUZ6bXhJUT09,20180204 144926000,RUN,BKUP
cTJJZkltZDdWSjN3c2s5QUZ6bXhJUT09,20180204 151757000,MON_R,RUN
cTJJZkltZDdWSjN3c2s5QUZ6bXhJUT09,20180204 153413000,RUN,MON_R
cTJJZkltZDdWSjN3c2s5QUZ6bXhJUT09,20180204 154558000,MON_R,RUN
cTJJZkltZDdWSjN3c2s5QUZ6bXhJUT09,20180204 155426000,RUN,MON_R
cTJJZkltZDdWSjN3c2s5QUZ6bXhJUT09,20180204 172453000,BKUP,RUN
cTJJZkltZDdWSjN3c2s5QUZ6bXhJUT09,20180204 190236000,RUN,BKUP
cTJJZkltZDdWSjN3c2s5QUZ6bXhJUT09,20180204 190307000,BKUP,RUN
cTJJZkltZDdWSjN3c2s5QUZ6bXhJUT09,20180204 204742000,RUN,BKUP
cTJJZkltZDdWSjN3c2s5QUZ6bXhJUT09,20180204 204817000,BKUP,RUN
cTJJZkltZDdWSjN3c2s5QUZ6bXhJUT09,20180204 221333000,RUN,BKUP
cTJJZkltZDdWSjN3c2s5QUZ6bXhJUT09,20180204 221416000,BKUP,RUN
cTJJZkltZDdWSjN3c2s5QUZ6bXhJUT09,20180204 224755000,RUN,BKUP
cTJJZkltZDdWSjN3c2s5QUZ6bXhJUT09,20180204 230646000,BKUP,RUN
TFg0eG1rYlQzaUJNMXhpMW12cUVJdz09,20180204 091147000,MON_R,RUN
TFg0eG1rYlQzaUJNMXhpMW12cUVJdz09,20180204 092157000,RUN,MON_R
TFg0eG1rYlQzaUJNMXhpMW12cUVJdz09,20180204 155117000,IDLE,RUN
TFg0eG1rYlQzaUJNMXhpMW12cUVJdz09,20180204 155548000,WAIT_ENG,IDLE
TFg0eG1rYlQzaUJNMXhpMW12cUVJdz09,20180204 155657000,HOLD_ENG,WAIT_ENG
TFg0eG1rYlQzaUJNMXhpMW12cUVJdz09,20180204 161917000,WAIT_MFG,HOLD_ENG
TFg0eG1rYlQzaUJNMXhpMW12cUVJdz09,20180204 162014000,MON_DOWN,WAIT_MFG
TFg0eG1rYlQzaUJNMXhpMW12cUVJdz09,20180204 162023000,IDLE,MON_DOWN
TFg0eG1rYlQzaUJNMXhpMW12cUVJdz09,20180204 162626000,RUN,IDLE
ejFqRVZuY0twb01laEZCblRpTjZGQT09,20180204 001919000,WAIT_ENG,RUN
ejFqRVZuY0twb01laEZCblRpTjZGQT09,20180204 002534000,PM,WAIT_ENG
ejFqRVZuY0twb01laEZCblRpTjZGQT09,20180204 002548000,WAIT_ENG,PM
