EQP_TYPE,RECIPE_PREV,RECIPE_ID,TIME
cmsrMHZ6VDNXWVZneCswSWMrbDgwZz09,eDJHSXNyY1Erdm1VclVyeWloaVV5ak9kSExUb3VvQjkzWklZaThzeTNJUT0=,S1hzOFBlMW5NemRTQ29yVkZXb3lROW8xWUo1YllXR216MnRSM2EwQ3IzTT0=,5.295
cmsrMHZ6VDNXWVZneCswSWMrbDgwZz09,S1hzOFBlMW5NemRTQ29yVkZXb3lROW8xWUo1YllXR216MnRSM2EwQ3IzTT0=,c3pyT2N5OVM5c0FkSE9VdGthWHBKaG1sOWxTWHRwK0dnSkRvOGppZDNyRT0=,6.42
cmsrMHZ6VDNXWVZneCswSWMrbDgwZz09,c3pyT2N5OVM5c0FkSE9VdGthWHBKaG1sOWxTWHRwK0dnSkRvOGppZDNyRT0=,c3pyT2N5OVM5c0FkSE9VdGthWHBKaG1sOWxTWHRwK0dnSkRvOGppZDNyRT0=,2.965
cmsrMHZ6VDNXWVZneCswSWMrbDgwZz09,c3pyT2N5OVM5c0FkSE9VdGthWHBKaG1sOWxTWHRwK0dnSkRvOGppZDNyRT0=,S2hjNWFCdzZndUh5MGhOczJaYW1ydTVRdW9mdzEwWi9jeHlWQjcyL3Vjcz0=,5.93
cmsrMHZ6VDNXWVZneCswSWMrbDgwZz09,S2hjNWFCdzZndUh5MGhOczJaYW1ydTVRdW9mdzEwWi9jeHlWQjcyL3Vjcz0=,S2hjNWFCdzZndUh5MGhOczJaYW1ydTVRdW9mdzEwWi9jeHlWQjcyL3Vjcz0=,2.8
cmsrMHZ6VDNXWVZneCswSWMrbDgwZz09,S2hjNWFCdzZndUh5MGhOczJaYW1ydTVRdW9mdzEwWi9jeHlWQjcyL3Vjcz0=,TUVzRkRCOFpTRDZVRVhDY3BBbnBvQ3RMdXN5Rnc2bjlyVkVGWC9WU0hIOD0=,5.38
cmsrMHZ6VDNXWVZneCswSWMrbDgwZz09,TUVzRkRCOFpTRDZVRVhDY3BBbnBvQ3RMdXN5Rnc2bjlyVkVGWC9WU0hIOD0=,S2hjNWFCdzZndUh5MGhOczJaYW1ydTVRdW9mdzEwWi9jeHlWQjcyL3Vjcz0=,5.88
cmsrMHZ6VDNXWVZneCswSWMrbDgwZz09,S2hjNWFCdzZndUh5MGhOczJaYW1ydTVRdW9mdzEwWi9jeHlWQjcyL3Vjcz0=,VTk3WW1XdjVRMWUvMkNpbnkxTjhZSkFlekNBWHlKWnQxR1ZvSkFCYmo1cz0=,6.5
cmsrMHZ6VDNXWVZneCswSWMrbDgwZz09,VTk3WW1XdjVRMWUvMkNpbnkxTjhZSkFlekNBWHlKWnQxR1ZvSkFCYmo1cz0=,S1hzOFBlMW5NemRTQ29yVkZXb3lROW8xWUo1YllXR216MnRSM2EwQ3IzTT0=,5.295
cmsrMHZ6VDNXWVZneCswSWMrbDgwZz09,S1hzOFBlMW5NemRTQ29yVkZXb3lROW8xWUo1YllXR216MnRSM2EwQ3IzTT0=,eDJHSXNyY1Erdm1VclVyeWloaVV5ak9kSExUb3VvQjkzWklZaThzeTNJUT0=,6.42
cmsrMHZ6VDNXWVZneCswSWMrbDgwZz09,eDJHSXNyY1Erdm1VclVyeWloaVV5ak9kSExUb3VvQjkzWklZaThzeTNJUT0=,Q2U5NFZSeDNqNERUZ09jZEY4MmdZbWU2dlQzNFRTME5IcE9nOGZQTS9zdz0=,5.295
cmsrMHZ6VDNXWVZneCswSWMrbDgwZz09,Q2U5NFZSeDNqNERUZ09jZEY4MmdZbWU2dlQzNFRTME5IcE9nOGZQTS9zdz0=,d3BYNVRReXQ0QlQyTjF6aWpBMTd2YnRkUjJ0akd2NUhrVkdsVllTVGVqaz0=,4.88
cmsrMHZ6VDNXWVZneCswSWMrbDgwZz09,d3BYNVRReXQ0QlQyTjF6aWpBMTd2YnRkUjJ0akd2NUhrVkdsVllTVGVqaz0=,Q1dicUdodU9mWDlUU2V2OVhkUDBsSVdUb1EycWo1M3AwUWZCbzFIN2FYYz0=,4.88
cmsrMHZ6VDNXWVZneCswSWMrbDgwZz09,Q1dicUdodU9mWDlUU2V2OVhkUDBsSVdUb1EycWo1M3AwUWZCbzFIN2FYYz0=,Q1dicUdodU9mWDlUU2V2OVhkUDBsSVdUb1EycWo1M3AwUWZCbzFIN2FYYz0=,4.88
cmsrMHZ6VDNXWVZneCswSWMrbDgwZz09,Q1dicUdodU9mWDlUU2V2OVhkUDBsSVdUb1EycWo1M3AwUWZCbzFIN2FYYz0=,eDJHSXNyY1Erdm1VclVyeWloaVV5ak9kSExUb3VvQjkzWklZaThzeTNJUT0=,6.42
cmsrMHZ6VDNXWVZneCswSWMrbDgwZz09,eDJHSXNyY1Erdm1VclVyeWloaVV5ak9kSExUb3VvQjkzWklZaThzeTNJUT0=,SjFyRndOWlRFcTZ5dlRTMDhMUGg5TE5waWJVKy83TVFNbDdJME0rRFU1ND0=,7.31
cmsrMHZ6VDNXWVZneCswSWMrbDgwZz09,SjFyRndOWlRFcTZ5dlRTMDhMUGg5TE5waWJVKy83TVFNbDdJME0rRFU1ND0=,M2JWQlNKcTE3cnQyQjk5aXJCUE0wejJUUDdxeWpFaUFPczIvTm43YitEOD0=,3.33
cmsrMHZ6VDNXWVZneCswSWMrbDgwZz09,M2JWQlNKcTE3cnQyQjk5aXJCUE0wejJUUDdxeWpFaUFPczIvTm43YitEOD0=,TUVzRkRCOFpTRDZVRVhDY3BBbnBvQ3RMdXN5Rnc2bjlyVkVGWC9WU0hIOD0=,3.33
cmsrMHZ6VDNXWVZneCswSWMrbDgwZz09,S2hjNWFCdzZndUh5MGhOczJaYW1ydTVRdW9mdzEwWi9jeHlWQjcyL3Vjcz0=,M2JWQlNKcTE3cnQyQjk5aXJCUE0wejJUUDdxeWpFaUFPczIvTm43YitEOD0=,5.38
cmsrMHZ6VDNXWVZneCswSWMrbDgwZz09,M2JWQlNKcTE3cnQyQjk5aXJCUE0wejJUUDdxeWpFaUFPczIvTm43YitEOD0=,M2JWQlNKcTE3cnQyQjk5aXJCUE0wejJUUDdxeWpFaUFPczIvTm43YitEOD0=,3.33
cmsrMHZ6VDNXWVZneCswSWMrbDgwZz09,M2JWQlNKcTE3cnQyQjk5aXJCUE0wejJUUDdxeWpFaUFPczIvTm43YitEOD0=,VEQ4UVQxQUVPTmoyQlBLYlMrL1NVdDE0OGg3Zm1NUmg2Q1c4czM0Z2dGcz0=,7.29
cmsrMHZ6VDNXWVZneCswSWMrbDgwZz09,VEQ4UVQxQUVPTmoyQlBLYlMrL1NVdDE0OGg3Zm1NUmg2Q1c4czM0Z2dGcz0=,VTk3WW1XdjVRMWUvMkNpbnkxTjhZSkFlekNBWHlKWnQxR1ZvSkFCYmo1cz0=,6.42
cmsrMHZ6VDNXWVZneCswSWMrbDgwZz09,VTk3WW1XdjVRMWUvMkNpbnkxTjhZSkFlekNBWHlKWnQxR1ZvSkFCYmo1cz0=,VTk3WW1XdjVRMWUvMkNpbnkxTjhZSkFlekNBWHlKWnQxR1ZvSkFCYmo1cz0=,2.965
