LOTID,EQPID,PILOT,FLAG,RECIPE,WAFER
DFK011.04,APDCI01,NO,1,8141VIA4-PHOTO,1
DFK011.04,BPUVI58,YES,1,8141VIA4-PHOTO,1
DFK011.04,DPDI701,NO,1,8141VIA4-PHOTO,1
DFN247.03,BPUVI10,YES,1,8042NLDD2-PHOTO,1
DF9395.15,BPUVI01,NO,1,8379VIA2-PHOTO,2
DF9395,BPUVI01,NO,1,8379VIA2-PHOTO,18
DF9395.16,BPUVI01,NO,1,8379VIA2-PHOTO,5
DF9395,BPUVI01,NO,1,8379VIA2-PHOTO,18
DF9395.14,BPUVI01,NO,1,8379VIA2-PHOTO,5
DF9395.13,BPUVI01,NO,1,8379VIA2-PHOTO,2
DF9395.15,BPUVI51,NO,1,8379VIA2-PHOTO,2
DF9395,BPUVI51,NO,1,8379VIA2-PHOTO,18
DF9395.16,BPUVI51,NO,1,8379VIA2-PHOTO,5
DF9395,BPUVI51,NO,1,8379VIA2-PHOTO,18
DF9395.14,BPUVI51,NO,1,8379VIA2-PHOTO,5
DF9395.13,BPUVI51,NO,1,8379VIA2-PHOTO,2
DF9395.15,BPUVI57,NO,1,8379VIA2-PHOTO,2
DF9395,BPUVI57,NO,1,8379VIA2-PHOTO,18
DF9395.16,BPUVI57,NO,1,8379VIA2-PHOTO,5
DF9395,BPUVI57,NO,1,8379VIA2-PHOTO,18
DF9395.14,BPUVI57,NO,1,8379VIA2-PHOTO,5
DF9395.13,BPUVI57,NO,1,8379VIA2-PHOTO,2
DF9395.15,BPUVI58,NO,1,8379VIA2-PHOTO,2
DF9395,BPUVI58,NO,1,8379VIA2-PHOTO,18
DF9395.16,BPUVI58,NO,1,8379VIA2-PHOTO,5
DF9395,BPUVI58,NO,1,8379VIA2-PHOTO,18
DF9395.14,BPUVI58,NO,1,8379VIA2-PHOTO,5
DF9395.13,BPUVI58,NO,1,8379VIA2-PHOTO,2
DF9395.15,BPUVI59,NO,1,8379VIA2-PHOTO,2
DF9395,BPUVI59,NO,1,8379VIA2-PHOTO,18
DF9395.16,BPUVI59,NO,1,8379VIA2-PHOTO,5
DF9395,BPUVI59,NO,1,8379VIA2-PHOTO,18
DF9395.14,BPUVI59,NO,1,8379VIA2-PHOTO,5
DF9395.13,BPUVI59,NO,1,8379VIA2-PHOTO,2
DF9395.15,DPDI701,YES,1,8379VIA2-PHOTO,2
DF9395,DPDI701,YES,1,8379VIA2-PHOTO,18
DF9395.16,DPDI701,YES,1,8379VIA2-PHOTO,5
DF9395,DPDI701,YES,1,8379VIA2-PHOTO,18
DF9395.14,DPDI701,YES,1,8379VIA2-PHOTO,5
DF9395.13,DPDI701,YES,1,8379VIA2-PHOTO,2
DF9395.15,DPDI702,NO,1,8379VIA2-PHOTO,2
DF9395,DPDI702,NO,1,8379VIA2-PHOTO,18
DF9395.16,DPDI702,NO,1,8379VIA2-PHOTO,5
DF9395,DPDI702,NO,1,8379VIA2-PHOTO,18
DF9395.14,DPDI702,NO,1,8379VIA2-PHOTO,5
DF9395.13,DPDI702,NO,1,8379VIA2-PHOTO,2
DF9395.15,DPDI804,NO,1,8379VIA2-PHOTO,2
DF9395,DPDI804,NO,1,8379VIA2-PHOTO,18
DF9395.16,DPDI804,NO,1,8379VIA2-PHOTO,5
DF9395,DPDI804,NO,1,8379VIA2-PHOTO,18
DF9395.14,DPDI804,NO,1,8379VIA2-PHOTO,5
DF9395.13,DPDI804,NO,1,8379VIA2-PHOTO,2
DL3962.15,BPUVI01,NO,1,7344VIA1-PHOTO,4
DL3962.15,BPUVI15,NO,1,7344VIA1-PHOTO,4
DL3962.15,BPUVI16,YES,1,7344VIA1-PHOTO,4
DL3962.15,BPUVI57,NO,1,7344VIA1-PHOTO,4
DL3962.15,BPUVI58,YES,1,7344VIA1-PHOTO,4
DL3962.15,BPUVI59,YES,1,7344VIA1-PHOTO,4
DL3962.15,DPDI701,NO,1,7344VIA1-PHOTO,4
DL3962.15,DPDI702,YES,1,7344VIA1-PHOTO,4
DL3962.15,DPDI804,NO,1,7344VIA1-PHOTO,4
DFN041,APDI708,YES,1,7017P1-PHOTO,25
DFN041,BPUVI57,YES,1,7017P1-PHOTO,25
DFN974,APDI708,YES,1,8042P1-PHOTO,25
DFN974,BPUVI57,YES,1,8042P1-PHOTO,25
DFN974,BPUVI58,NO,1,8042P1-PHOTO,25
DFM227,APDCI01,NO,1,7275VIA2-PHOTO,25
DFM227,APDCI02,NO,1,7275VIA2-PHOTO,25
DFM227,BPUVI01,NO,1,7275VIA2-PHOTO,25
DFM227,BPUVI02,NO,1,7275VIA2-PHOTO,25
DFM227,BPUVI03,NO,1,7275VIA2-PHOTO,25
DFM227,BPUVI04,NO,1,7275VIA2-PHOTO,25
DFM227,BPUVI05,YES,1,7275VIA2-PHOTO,25
DFM227,BPUVI06,NO,1,7275VIA2-PHOTO,25
DFM227,BPUVI07,NO,1,7275VIA2-PHOTO,25
DFM227,BPUVI09,YES,1,7275VIA2-PHOTO,25
DFM227,BPUVI11,NO,1,7275VIA2-PHOTO,25
DFM227,BPUVI12,NO,1,7275VIA2-PHOTO,25
DFM227,BPUVI15,NO,1,7275VIA2-PHOTO,25
DFM227,BPUVI16,NO,1,7275VIA2-PHOTO,25
DFM227,BPUVI52,NO,1,7275VIA2-PHOTO,25
DFM227,BPUVI59,NO,1,7275VIA2-PHOTO,25
DFM227,DPDI701,NO,1,7275VIA2-PHOTO,25
DFM227,DPDI702,NO,1,7275VIA2-PHOTO,25
DFM227,DPDI804,YES,1,7275VIA2-PHOTO,25
DFM135,APDCI01,NO,1,7275VIA2-PHOTO,25
DFM135,APDCI02,NO,1,7275VIA2-PHOTO,25
DFM135,BPUVI01,NO,1,7275VIA2-PHOTO,25
DFM135,BPUVI02,NO,1,7275VIA2-PHOTO,25
DFM135,BPUVI03,NO,1,7275VIA2-PHOTO,25
DFM135,BPUVI04,NO,1,7275VIA2-PHOTO,25
DFM135,BPUVI05,YES,1,7275VIA2-PHOTO,25
DFM135,BPUVI06,NO,1,7275VIA2-PHOTO,25
DFM135,BPUVI07,NO,1,7275VIA2-PHOTO,25
DFM135,BPUVI09,YES,1,7275VIA2-PHOTO,25
DFM135,BPUVI11,NO,1,7275VIA2-PHOTO,25
DFM135,BPUVI12,NO,1,7275VIA2-PHOTO,25
DFM135,BPUVI15,NO,1,7275VIA2-PHOTO,25
DFM135,BPUVI16,NO,1,7275VIA2-PHOTO,25
DFM135,BPUVI52,NO,1,7275VIA2-PHOTO,25
DFM135,BPUVI59,NO,1,7275VIA2-PHOTO,25
DFM135,DPDI701,NO,1,7275VIA2-PHOTO,25
DFM135,DPDI702,NO,1,7275VIA2-PHOTO,25
DFM135,DPDI804,YES,1,7275VIA2-PHOTO,25
DFN972,APDI708,YES,1,8042P1-PHOTO,25
DFN972,BPUVI57,YES,1,8042P1-PHOTO,25
DFN972,BPUVI58,NO,1,8042P1-PHOTO,25
DFM795.02,BPUVI04,YES,1,6134M3-PHOTO,1
DFM795,BPUVI04,YES,1,6134M3-PHOTO,24
DFM795.02,BPUVI05,NO,1,6134M3-PHOTO,1
DFM795,BPUVI05,NO,1,6134M3-PHOTO,24
DFM795.02,BPUVI07,YES,1,6134M3-PHOTO,1
DFM795,BPUVI07,YES,1,6134M3-PHOTO,24
DFM795.02,BPUVI51,NO,1,6134M3-PHOTO,1
DFM795,BPUVI51,NO,1,6134M3-PHOTO,24
DFM959,BPUVI01,YES,1,8479VIA3-PHOTO,17
DFM959.01,BPUVI01,YES,1,8479VIA3-PHOTO,8
DFM959,BPUVI05,YES,1,8479VIA3-PHOTO,17
DFM959.01,BPUVI05,YES,1,8479VIA3-PHOTO,8
DFM959,BPUVI09,NO,1,8479VIA3-PHOTO,17
DFM959.01,BPUVI09,NO,1,8479VIA3-PHOTO,8
DFM959,BPUVI11,YES,1,8479VIA3-PHOTO,17
DFM959.01,BPUVI11,YES,1,8479VIA3-PHOTO,8
DFQ095,APDI708,NO,1,7275AA-PHOTO,25
DFQ095,BPUVI01,NO,1,7275AA-PHOTO,25
DFQ095,BPUVI58,NO,1,7275AA-PHOTO,25
DFQ095,BPUVI60,YES,1,7275AA-PHOTO,25
DFQ095,BPUVI61,NO,1,7275AA-PHOTO,25
DFM587,BPUVI57,NO,1,6445CT-PHOTO,25
DFM587,BPUVI59,NO,1,6445CT-PHOTO,25
DFM587,DPDI701,YES,1,6445CT-PHOTO,25
DFM485,BPUVI01,YES,1,8042M1-PHOTO,25
DFM485,BPUVI03,NO,1,8042M1-PHOTO,25
DFM485,BPUVI09,NO,1,8042M1-PHOTO,25
DFM485,BPUVI57,YES,1,8042M1-PHOTO,25
DFM485,BPUVI58,YES,1,8042M1-PHOTO,25
DFM485,DPDI701,NO,1,8042M1-PHOTO,25
DFN215,APDCI02,NO,1,7226NP-PHOTO2,25
DFN215,BPUVI01,NO,1,7226NP-PHOTO2,25
DFN215,BPUVI02,NO,1,7226NP-PHOTO2,25
DFN215,BPUVI08,NO,1,7226NP-PHOTO2,25
DFN215,BPUVI13,YES,1,7226NP-PHOTO2,25
