EQPID,RECIPE,FLAG,LOT,PILOT
APDCI01,0906TV1PHOTO,2,1.125,pilot
APDCI01,3500M3PHOTO,1,0.125,pilot
APDCI01,3500M3PHOTO,2,1,pilot
APDCI01,4491TV1PHOTO,3,0.125,
APDCI01,4491TV1PHOTO,4,1,
APDCI01,5958M3PHOTO,5,1,pilot
APDCI01,5958VIA1PHOTO,1,1,
APDCI01,5958VIA1PHOTO,3,1,
APDCI01,5958VIA1PHOTO,4,1,
APDCI01,7275M2PHOTO,5,2,pilot
APDCI01,7275M3MIMPHOTO,3,6.125,pilot
APDCI01,7275M3MIMPHOTO,4,4,pilot
APDCI01,7275M3MIMPHOTO,6,12.5,pilot
APDCI01,7275M3PHOTO,5,5,pilot
APDCI01,7275TV1PHOTO,2,5,pilot
APDCI01,7275VIA2PHOTO,1,5.125,pilot
APDCI01,9062M2PHOTO,4,0.125,pilot
APDCI02,4513NLDDPHOTO,6,1,
APDCI02,4513PLDD1PHOTO,3,1,
APDCI02,4703NPPHOTO2,6,2,pilot
APDCI02,5250NLDDPHOTO,5,1,pilot
APDCI02,5334NLDD2PHOTO,3,2,pilot
APDCI02,5958M2PHOTO,2,1,
APDCI02,5958M2PHOTO,6,1,
APDCI02,5958VIA2PHOTO,2,3,
APDCI02,5958VIA2PHOTO,4,1,
APDCI02,6243NLDDPHOTO,1,1,pilot
APDCI02,7107NLDDPHOTO,3,2,pilot
APDCI02,7107NLDDPHOTO,6,3,pilot
APDCI02,7107PLDD2PHOTO,3,3,pilot
APDCI02,7107PLDD2PHOTO,5,1,pilot
APDCI02,7226NPPHOTO2,5,2,pilot
APDCI02,7275VIA2PHOTO,2,3,pilot
APDCI02,7295M5PHOTO,6,1,
APDCI02,7295TV1PHOTO,2,1,
APDCI02,7295VIA4PHOTO,2,1.875,
APDCI02,7622NLDDPHOTO,5,3,pilot
APDCI02,8042M1PHOTO,4,6,pilot
APDCI02,8042VIA2PHOTO,6,1,pilot
APDCI02,8141TV1PHOTO,1,1,pilot
APDI708,5958CTPHOTO,6,6,
APDI708,6445P1PHOTO,1,6.125,
APDI708,6445P1PHOTO,2,1,
APDI708,6445P1PHOTO,4,6,
APDI708,7017P1PHOTO,1,4.125,
APDI708,7017P1PHOTO,2,1,
APDI708,7017P1PHOTO,5,5,
APDI708,7344AAPHOTO,2,5,
APDI708,7344AAPHOTO,3,8,
APDI708,7543CTPHOTO,6,1,
APDI708,8141AAPHOTO,6,1,
APDI708,8666P1PHOTO,4,0.125,pilot
APDI708,8666P1PHOTO,6,0.125,pilot
APDI708,8858M1PHOTO,5,0.375,
APDI708,8978P1PHOTO,3,0.125,
APDI708,8978P1PHOTO,5,0.125,
APDI901,8859P2PHOTO,4,0.125,
APDI901,8859P2PHOTO,5,0.125,
APDI901,IDLE,1,3,
APDI901,IDLE,2,7,
APDI901,IDLE,3,7,
APDI901,IDLE,4,7,
APDI901,IDLE,5,7,
APDI901,IDLE,6,6,
BPUVI01,5697CTPHOTO,4,1,
BPUVI01,5697CTPHOTO,5,1.75,
BPUVI01,5958M1PHOTO,4,1,
BPUVI01,5959AAPHOTO,1,1,
BPUVI01,6023M1PHOTO,5,2,pilot
BPUVI01,6200VIA1PHOTO,1,1,
BPUVI01,6445AAPHOTO,1,3,
BPUVI01,6445AAPHOTO,3,1,
BPUVI01,6518VIA5PHOTO,4,1,
BPUVI01,6569NLDDPHOTO,5,1,
BPUVI01,6569PLDD1PHOTO,1,1,
BPUVI01,7017AAPHOTO,6,8,
BPUVI01,7107NLDDPHOTO,5,1,
BPUVI01,7275M2PHOTO,4,1,pilot
BPUVI01,7344CTPHOTO,2,9,pilot
BPUVI01,7531NLDD2PHOTO,4,1,
BPUVI01,7622PPPHOTO2,1,1,
BPUVI01,7622PPPHOTO2,4,0.125,
BPUVI01,8042AAPHOTO,4,1,pilot
BPUVI01,8042CTPHOTO,3,6,pilot
BPUVI01,8207NPPHOTO,6,1,pilot
BPUVI01,8992PLDD1PHOTO,1,0.25,
BPUVI02,1377M1PHOTO,1,3,pilot
BPUVI02,1377VIA1PHOTO,2,2,pilot
BPUVI02,1584PLDDPHOTO,1,1,
BPUVI02,4030NPPHOTO2,6,0.125,pilot
BPUVI02,4327TV1PHOTO,2,1,pilot
BPUVI02,4703NLDD2PHOTO,4,1,
BPUVI02,4703NPPHOTO2,4,1,
BPUVI02,5334PLDD2PHOTO,6,1,
BPUVI02,6023AAPHOTO,6,3,
BPUVI02,6136M2PHOTO,5,0.125,pilot
BPUVI02,6200VIA5PHOTO,4,3,
BPUVI02,6518AAPHOTO,5,2,
BPUVI02,6518CSDPHOTO,6,1,
BPUVI02,6518VIA5PHOTO,1,3,pilot
BPUVI02,6748M4MIMPHOTO,4,0.125,
BPUVI02,6748M4MIMPHOTO,5,1,
BPUVI02,7002PPPHOTO2,6,1,
BPUVI02,7226NLDD2PHOTO,3,1,pilot
BPUVI02,7470VIA1PHOTO,2,1,
BPUVI02,7470VIA1PHOTO,3,2,
BPUVI02,7531TIMPHOTO,1,3.125,pilot
BPUVI02,7622NLDD2PHOTO,3,1,
BPUVI02,7622NPPHOTO2,4,1,
BPUVI02,7622PPPHOTO2,3,1,
BPUVI02,7988NPPHOTO2,4,1,
BPUVI02,8207NLDD2PHOTO,4,1,
BPUVI02,8207PLDD2PHOTO,3,1,
BPUVI02,8366NPPHOTO2,6,1,
BPUVI02,8479AAPHOTO,6,1,pilot
BPUVI02,8726BNPPHOTO,2,1,
BPUVI02,8726BNPPHOTO,6,1,
BPUVI02,8968AAPHOTO,2,0.625,pilot
BPUVI02,8968AAPHOTO,3,0.5,pilot
BPUVI02,8992PLDD1PHOTO,3,0.25,
BPUVI02,9027NLDDPHOTO,6,0.5,pilot
BPUVI03,2721P1PHOTO,3,0.125,
BPUVI03,2721P1PHOTO,4,0.125,
BPUVI03,5669M5PHOTO,1,1,pilot
BPUVI03,5998AAPHOTO,4,3,pilot
BPUVI03,6200AAPHOTO,5,2,
BPUVI03,6427M1PHOTO,3,3.125,pilot
BPUVI03,6427M1PHOTO,4,1,pilot
BPUVI03,6518VIA5PHOTO,2,3,pilot
BPUVI03,7176P1PHOTO,5,2.125,
BPUVI03,7275M3MIMPHOTO,1,3.125,pilot
BPUVI03,7470M2PHOTO,6,1,
BPUVI03,7492M4PHOTO,2,3,pilot
BPUVI03,8042M1PHOTO,3,7,pilot
BPUVI03,8042M1PHOTO,6,4,pilot
BPUVI03,8042M2MIMPHOTO,2,4,pilot
BPUVI03,8042M2MIMPHOTO,5,3,pilot
BPUVI03,8257VIA1PHOTO,3,0.125,
BPUVI03,8257VIA1PHOTO,4,0.5,
BPUVI03,8479M4MIMPHOTO,6,1,pilot
BPUVI03,8761M4PHOTO,3,0.125,
BPUVI03,9036VIA2PHOTO,3,0.5,
BPUVI03,9062CTPHOTO,6,0.5,pilot
BPUVI04,1717PLDD1PHOTO,2,1,
BPUVI04,2131AAPHOTO,3,2,
BPUVI04,3739VIA2PHOTO,3,0.375,
BPUVI04,4087M1PHOTO,1,0.125,
BPUVI04,4087M1PHOTO,4,0.125,
BPUVI04,4087M1PHOTO,5,1,
BPUVI04,5697M1PHOTO,6,1,
BPUVI04,5697VIA1PHOTO,1,2,
BPUVI04,5697VIA1PHOTO,6,1,
BPUVI04,5998AAPHOTO,3,1,
BPUVI04,5999P4PHOTO,1,4,
BPUVI04,5999P4PHOTO,3,4,
BPUVI04,5999P4PHOTO,5,2,
BPUVI04,6023AAPHOTO,5,1,
BPUVI04,6023M3PHOTO,4,1,
BPUVI04,6134M3PHOTO,5,2,
BPUVI04,6134VIA2PHOTO,1,1,
BPUVI04,6134VIA2PHOTO,6,1,
BPUVI04,6246P4PHOTO,2,1,
