EQPID,RECIPE,FLAG,LOT,PILOT
APDCI01,4491TV1-PHOTO,4,1,
APDCI01,5958M2-PHOTO,2,1,
APDCI01,5958M2-PHOTO,6,1,
APDCI01,5958VIA1-PHOTO,1,1,
APDCI01,5958VIA1-PHOTO,4,1,
APDCI01,7275M3MIM-PHOTO,2,7,pilot
APDCI01,7275M3MIM-PHOTO,3,6.125,
APDCI01,7275M3MIM-PHOTO,4,4,
APDCI01,7275M3MIM-PHOTO,6,12.5,
APDCI01,7275M3-PHOTO,4,4.125,pilot
APDCI01,7275M3-PHOTO,6,0.125,
APDCI01,9062M2-PHOTO,4,0.125,pilot
APDCI01,IDLE,1,2,
APDCI01,IDLE,5,3,
APDCI01,,,44,3

APDCI02,0906TV1-PHOTO,3,2.125,pilot
APDCI02,4030NP-PHOTO2,6,0.125,pilot
APDCI02,4491TV1-PHOTO,3,0.125,
APDCI02,4513NLDD-PHOTO,6,1,
APDCI02,4513PLDD1-PHOTO,1,1,
APDCI02,4513PLDD1-PHOTO,3,1,
APDCI02,5250NP-PHOTO2,6,1,pilot
APDCI02,5958VIA1-PHOTO,3,1,
APDCI02,5958VIA2-PHOTO,2,3,
APDCI02,5958VIA2-PHOTO,4,1,
APDCI02,5958VIA2-PHOTO,6,1,
APDCI02,6243NLDD-PHOTO,1,1,pilot
APDCI02,6243NLDD-PHOTO,5,1,
APDCI02,7275M3-PHOTO,5,5,pilot
APDCI02,7295M5-PHOTO,1,2,
APDCI02,7295M5-PHOTO,4,1,
APDCI02,7295M5-PHOTO,6,1,
APDCI02,7295TV1-PHOTO,1,1,
APDCI02,7295TV1-PHOTO,2,1,
APDCI02,7295TV1-PHOTO,3,1,
APDCI02,7295VIA4-PHOTO,2,1.875,
APDCI02,8042M1-PHOTO,4,6,pilot
APDCI02,8042M1-PHOTO,5,1,
APDCI02,8042M1-PHOTO,6,4,
APDCI02,8042VIA2-PHOTO,3,1,pilot
APDCI02,8042VIA2-PHOTO,6,1,
APDCI02,,,41.25,7

APDI708,3500M3-PHOTO,1,0.125,
